timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,val_loss
2026-02-20T16:14:42.013733,13000,3.774862,43.59,2.000000e-04,26028,319488000,0.3195,3.4097,3.727360
2026-02-20T16:16:05.392786,13050,3.797691,44.60,2.000000e-04,25951,320716800,0.3207,3.4329,
2026-02-20T16:16:49.861899,13100,3.811129,45.20,2.000000e-04,25957,321945600,0.3219,3.4452,
2026-02-20T16:17:34.429807,13150,3.811085,45.20,2.000000e-04,25963,323174400,0.3232,3.4576,
2026-02-20T16:18:19.278202,13200,3.810519,45.17,2.000000e-04,25968,324403200,0.3244,3.4701,
2026-02-20T16:19:03.874043,13250,3.786728,44.11,2.000000e-04,25974,325632000,0.3256,3.4825,
2026-02-20T16:19:48.486167,13300,3.750723,42.55,2.000000e-04,25980,326860800,0.3269,3.4949,
2026-02-20T16:20:33.265067,13350,3.729824,41.67,2.000000e-04,25985,328089600,0.3281,3.5073,
2026-02-20T16:21:18.985351,13400,3.760273,42.96,2.000000e-04,25988,329318400,0.3293,3.5200,
2026-02-20T16:22:03.479606,13450,3.771114,43.43,2.000000e-04,25994,330547200,0.3305,3.5324,
2026-02-20T16:22:48.103247,13500,3.763847,43.11,2.000000e-04,25999,331776000,0.3318,3.5448,
2026-02-20T16:22:49.274071,13500,3.763847,43.11,2.000000e-04,25997,331776000,0.3318,3.5451,3.716027
2026-02-20T16:23:37.388810,13550,3.727460,41.57,2.000000e-04,25995,333004800,0.3330,3.5584,
2026-02-20T16:24:21.954496,13600,3.692586,40.15,2.000000e-04,26000,334233600,0.3342,3.5708,
2026-02-20T16:25:07.386320,13650,3.724761,41.46,2.000000e-04,26004,335462400,0.3355,3.5834,
2026-02-20T16:25:52.020496,13700,3.736493,41.95,2.000000e-04,26009,336691200,0.3367,3.5958,
2026-02-20T16:26:36.653877,13750,3.737780,42.00,2.000000e-04,26015,337920000,0.3379,3.6082,
2026-02-20T16:27:21.474966,13800,3.772334,43.48,2.000000e-04,26019,339148800,0.3391,3.6207,
2026-02-20T16:28:06.464590,13850,3.785126,44.04,2.000000e-04,26024,340377600,0.3404,3.6332,
2026-02-20T16:28:51.330486,13900,3.756571,42.80,2.000000e-04,26028,341606400,0.3416,3.6456,
2026-02-20T16:29:36.177328,13950,3.775049,43.60,2.000000e-04,26033,342835200,0.3428,3.6581,
2026-02-20T16:30:21.192868,14000,3.807978,45.06,2.000000e-04,26037,344064000,0.3441,3.6706,
2026-02-20T16:30:22.353452,14000,3.807978,45.06,2.000000e-04,26035,344064000,0.3441,3.6709,3.698755
2026-02-20T16:31:46.287838,14050,3.792610,44.37,2.000000e-04,25963,345292800,0.3453,3.6942,
2026-02-20T16:32:30.932896,14100,3.819861,45.60,2.000000e-04,25968,346521600,0.3465,3.7066,
2026-02-20T16:33:15.766955,14150,3.837894,46.43,2.000000e-04,25973,347750400,0.3478,3.7191,
2026-02-20T16:34:00.728391,14200,3.817302,45.48,2.000000e-04,25978,348979200,0.3490,3.7316,
2026-02-20T16:34:48.714499,14250,3.796014,44.52,2.000000e-04,25977,350208000,0.3502,3.7449,
2026-02-20T16:35:33.607051,14300,3.791387,44.32,2.000000e-04,25981,351436800,0.3514,3.7574,
2026-02-20T16:36:18.687590,14350,3.823678,45.77,2.000000e-04,25985,352665600,0.3527,3.7699,
2026-02-20T16:37:03.680783,14400,3.810939,45.19,2.000000e-04,25990,353894400,0.3539,3.7824,
2026-02-20T16:37:48.788201,14450,3.798608,44.64,2.000000e-04,25994,355123200,0.3551,3.7949,
2026-02-20T16:38:34.062646,14500,3.812186,45.25,2.000000e-04,25998,356352000,0.3564,3.8075,
2026-02-20T16:38:35.225029,14500,3.812186,45.25,2.000000e-04,25995,356352000,0.3564,3.8078,3.687866
2026-02-20T16:39:23.492032,14550,3.815941,45.42,2.000000e-04,25994,357580800,0.3576,3.8212,
2026-02-20T16:40:08.523092,14600,3.814548,45.36,2.000000e-04,25998,358809600,0.3588,3.8338,
2026-02-20T16:40:54.439105,14650,3.807046,45.02,2.000000e-04,26000,360038400,0.3600,3.8465,
2026-02-20T16:41:39.523100,14700,3.783865,43.99,2.000000e-04,26004,361267200,0.3613,3.8590,
2026-02-20T16:42:24.521562,14750,3.774870,43.59,2.000000e-04,26009,362496000,0.3625,3.8715,
2026-02-20T16:43:09.734799,14800,3.793372,44.41,2.000000e-04,26012,363724800,0.3637,3.8841,
2026-02-20T16:43:55.362766,14850,3.803898,44.88,2.000000e-04,26015,364953600,0.3650,3.8968,
2026-02-20T16:44:40.626994,14900,3.782054,43.91,2.000000e-04,26019,366182400,0.3662,3.9093,
2026-02-20T16:45:25.948740,14950,3.768184,43.30,2.000000e-04,26023,367411200,0.3674,3.9219,
2026-02-20T16:46:11.098826,15000,3.777190,43.69,2.000000e-04,26026,368640000,0.3686,3.9345,
2026-02-20T16:46:12.262146,15000,3.777190,43.69,2.000000e-04,26024,368640000,0.3686,3.9348,3.675040
2026-02-20T16:47:37.471068,15050,3.740629,42.12,2.000000e-04,25955,369868800,0.3699,3.9585,
2026-02-20T16:48:22.240206,15100,3.717512,41.16,2.000000e-04,25960,371097600,0.3711,3.9709,
2026-02-20T16:49:07.170963,15150,3.724899,41.47,2.000000e-04,25964,372326400,0.3723,3.9834,
2026-02-20T16:49:52.219928,15200,3.704484,40.63,2.000000e-04,25968,373555200,0.3736,3.9959,
2026-02-20T16:50:37.238651,15250,3.696792,40.32,2.000000e-04,25972,374784000,0.3748,4.0084,
2026-02-20T16:51:22.272365,15300,3.694045,40.21,2.000000e-04,25976,376012800,0.3760,4.0209,
2026-02-20T16:52:07.425418,15350,3.729428,41.66,2.000000e-04,25980,377241600,0.3772,4.0335,
2026-02-20T16:52:52.532838,15400,3.714203,41.03,2.000000e-04,25984,378470400,0.3785,4.0460,
2026-02-20T16:53:37.628690,15450,3.671447,39.31,2.000000e-04,25988,379699200,0.3797,4.0585,
