timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,elapsed_hours
2026-02-26T22:39:07.793838,11000,1.651268,5.21,4.260104e-05,23274,270336000,3.2265
2026-02-26T22:40:43.638562,11050,1.643067,5.17,4.253459e-05,23189,271564800,3.2531
2026-02-26T22:41:56.007697,11100,1.593638,4.92,4.246791e-05,23150,272793600,3.2732
2026-02-26T22:43:09.399248,11150,1.570700,4.81,4.240098e-05,23111,274022400,3.2936
2026-02-26T22:44:23.463234,11200,1.626121,5.08,4.233382e-05,23070,275251200,3.3142
2026-02-26T22:45:36.946566,11250,1.644612,5.18,4.226643e-05,23031,276480000,3.3346
2026-02-26T22:46:30.802315,11300,1.607505,4.99,4.219880e-05,23030,277708800,3.3495
2026-02-26T22:47:16.116689,11350,1.620747,5.06,4.213094e-05,23046,278937600,3.3621
2026-02-26T22:48:02.318824,11400,1.601098,4.96,4.206285e-05,23059,280166400,3.3750
2026-02-26T22:48:48.031952,11450,1.573192,4.82,4.199453e-05,23074,281395200,3.3877
2026-02-26T22:49:33.583731,11500,1.569983,4.81,4.192598e-05,23088,282624000,3.4003
2026-02-26T22:50:18.591067,11550,1.587982,4.89,4.185720e-05,23104,283852800,3.4128
2026-02-26T22:51:04.269505,11600,1.617582,5.04,4.178820e-05,23118,285081600,3.4255
2026-02-26T22:51:49.250551,11650,1.629077,5.10,4.171896e-05,23133,286310400,3.4380
2026-02-26T22:52:34.149302,11700,1.630303,5.11,4.164951e-05,23148,287539200,3.4505
2026-02-26T22:53:19.191311,11750,1.566549,4.79,4.157983e-05,23163,288768000,3.4630
2026-02-26T22:54:04.272350,11800,1.593039,4.92,4.150992e-05,23178,289996800,3.4755
2026-02-26T22:54:49.780797,11850,1.622345,5.06,4.143980e-05,23192,291225600,3.4881
2026-02-26T22:55:34.782038,11900,1.581487,4.86,4.136946e-05,23206,292454400,3.5006
2026-02-26T22:56:19.833472,11950,1.560917,4.76,4.129889e-05,23221,293683200,3.5132
2026-02-26T22:57:04.730354,12000,1.618353,5.04,4.122811e-05,23236,294912000,3.5256
2026-02-26T22:58:00.964506,12050,1.627785,5.09,4.115711e-05,23229,296140800,3.5412
2026-02-26T22:58:45.712095,12100,1.589133,4.90,4.108589e-05,23244,297369600,3.5537
2026-02-26T22:59:30.459793,12150,1.572776,4.82,4.101446e-05,23259,298598400,3.5661
2026-02-26T23:00:15.254026,12200,1.540557,4.67,4.094282e-05,23274,299827200,3.5785
2026-02-26T23:01:00.194213,12250,1.571579,4.81,4.087096e-05,23288,301056000,3.5910
2026-02-26T23:01:45.289857,12300,1.580993,4.86,4.079889e-05,23301,302284800,3.6036
2026-02-26T23:02:30.283362,12350,1.548104,4.70,4.072662e-05,23315,303513600,3.6161
2026-02-26T23:03:15.297150,12400,1.578535,4.85,4.065413e-05,23329,304742400,3.6286
2026-02-26T23:04:00.217872,12450,1.610827,5.01,4.058143e-05,23343,305971200,3.6410
2026-02-26T23:04:45.323635,12500,1.559355,4.76,4.050853e-05,23356,307200000,3.6536
2026-02-26T23:05:30.195649,12550,1.531264,4.62,4.043542e-05,23370,308428800,3.6660
2026-02-26T23:06:14.942569,12600,1.606677,4.99,4.036211e-05,23384,309657600,3.6785
2026-02-26T23:06:59.906561,12650,1.616724,5.04,4.028859e-05,23397,310886400,3.6909
2026-02-26T23:07:44.926085,12700,1.548928,4.71,4.021487e-05,23410,312115200,3.7035
2026-02-26T23:08:29.218673,12750,1.551859,4.72,4.014096e-05,23425,313344000,3.7158
2026-02-26T23:09:13.709588,12800,1.560861,4.76,4.006684e-05,23438,314572800,3.7281
2026-02-26T23:09:58.310008,12850,1.589442,4.90,3.999252e-05,23452,315801600,3.7405
2026-02-26T23:10:42.875190,12900,1.583686,4.87,3.991800e-05,23466,317030400,3.7529
2026-02-26T23:11:28.080510,12950,1.588943,4.90,3.984329e-05,23478,318259200,3.7654
2026-02-26T23:12:13.176114,13000,1.592134,4.91,3.976838e-05,23491,319488000,3.7780
2026-02-26T23:13:12.236710,13050,1.564902,4.78,3.969328e-05,23479,320716800,3.7944
2026-02-26T23:13:57.501154,13100,1.594052,4.92,3.961799e-05,23491,321945600,3.8069
2026-02-26T23:14:42.277736,13150,1.585157,4.88,3.954250e-05,23504,323174400,3.8194
2026-02-26T23:15:27.090725,13200,1.566360,4.79,3.946683e-05,23517,324403200,3.8318
