step,sg_loss,cbow_loss,var_loss,lr
9100,3.325770,3.470393,2.433056,0.025000
9150,3.331609,3.437781,2.438819,0.025000
9200,3.389767,3.494930,2.466102,0.025000
9250,3.366987,3.468063,2.442337,0.025000
9300,3.262043,3.378851,2.378789,0.025000
9350,3.324548,3.488131,2.443284,0.025000
9400,3.376003,3.599099,2.478928,0.025000
9450,3.337214,3.533634,2.454419,0.025000
9500,3.237037,3.333813,2.375240,0.025000
9550,3.408027,3.584788,2.464509,0.025000
9600,3.358761,3.534183,2.452789,0.025000
9650,3.246098,3.344021,2.379802,0.025000
9700,3.252508,3.382347,2.379003,0.024999
9750,3.231480,3.367182,2.373537,0.024999
9800,3.227866,3.343350,2.369749,0.024999
9850,3.443443,3.572849,2.475982,0.024999
9900,3.360582,3.537421,2.473021,0.024999
9950,3.508947,3.699133,2.547033,0.024999
10000,3.405414,3.620331,2.475917,0.024999
10000,3.405414,3.620331,2.475917,0.024999,0.300000,0.109525,0.216158,0.106633
10050,3.422165,3.599337,2.489663,0.024999
10100,3.369400,3.532017,2.470806,0.024999
10150,3.329858,3.451087,2.437312,0.024999
10200,3.388199,3.563291,2.463715,0.024999
10250,3.406452,3.623253,2.490745,0.024999
10300,3.359407,3.416718,2.444947,0.024999
10350,3.250822,3.313997,2.374862,0.024999
10400,3.355372,3.525307,2.460759,0.024999
10450,3.336623,3.424316,2.426257,0.024999
10500,3.330748,3.495732,2.433388,0.024999
10550,3.366432,3.585908,2.468358,0.024999
10600,3.345927,3.546594,2.458124,0.024999
10650,3.395664,3.366201,2.429669,0.024999
10700,3.379454,3.520670,2.462567,0.024999
10750,3.473665,3.604398,2.513547,0.024999
10800,3.405496,3.634962,2.496504,0.024999
10850,3.330809,3.513665,2.432772,0.024999
10900,3.297344,3.406506,2.416120,0.024999
10950,3.338119,3.499026,2.444568,0.024999
11000,3.418816,3.596661,2.482798,0.024999
11050,3.336447,3.464341,2.429098,0.024999
11100,3.345616,3.513977,2.438427,0.024999
11150,3.346945,3.560092,2.455628,0.024999
11200,3.450454,3.631320,2.499223,0.024999
11250,3.300677,3.466906,2.421051,0.024999
11300,3.352076,3.505007,2.446331,0.024999
11350,3.385394,3.544371,2.452689,0.024999
11400,3.409666,3.628589,2.498136,0.024999
11450,3.341553,3.510706,2.440753,0.024999
11500,3.325122,3.531719,2.442876,0.024999
11550,3.212907,3.385243,2.374249,0.024999
11600,3.277059,3.401451,2.389576,0.024999
11650,3.348869,3.513045,2.440971,0.024999
11700,3.316673,3.468680,2.432694,0.024999
11750,3.330763,3.591593,2.455842,0.024999
11800,3.363128,3.592837,2.456274,0.024999
11850,3.337949,3.540689,2.449237,0.024999
11900,3.297381,3.438686,2.415275,0.024999
11950,3.308532,3.366998,2.403499,0.024999
12000,3.294332,3.397968,2.402438,0.024999
12050,3.333868,3.519210,2.455021,0.024999
12100,3.374782,3.581345,2.468007,0.024999
12150,3.370710,3.495775,2.455179,0.024999
12200,3.363325,3.551356,2.464797,0.024999
12250,3.325448,3.533676,2.453776,0.024999
12300,3.280388,3.445505,2.398866,0.024999
12350,3.370370,3.490277,2.456404,0.024999
12400,3.309571,3.495899,2.425075,0.024999
12450,3.363528,3.551935,2.446387,0.024999
12500,3.286534,3.448178,2.404984,0.024999
12550,3.347438,3.536769,2.444512,0.024999
12600,3.349756,3.504411,2.437678,0.024999
