step,recon_loss,pred_loss,total_loss,lr
9750,5.623569,5.677694,8.489479,0.000300
9800,5.387229,5.448701,8.142316,0.000300
9850,5.616615,5.677609,8.485917,0.000300
9900,5.808870,5.855798,8.760233,0.000300
9950,5.696589,5.734970,8.583264,0.000300
10000,5.658496,5.696456,8.525703,0.000300
10050,5.775948,5.816108,8.704082,0.000300
10100,5.921300,5.959188,8.919838,0.000300
10150,5.875439,5.913369,8.851088,0.000300
10200,5.882595,5.903326,8.844623,0.000300
10250,5.760230,5.787421,8.667536,0.000300
10300,5.622441,5.669104,8.480324,0.000300
10350,5.606983,5.651338,8.454830,0.000300
10400,5.432766,5.488382,8.204765,0.000300
10450,5.349557,5.416722,8.091500,0.000300
10500,5.419194,5.484863,8.194460,0.000300
10550,5.532073,5.590359,8.356396,0.000300
10600,5.704845,5.758875,8.611298,0.000300
10650,5.713931,5.775816,8.632781,0.000300
10700,5.533913,5.609031,8.375987,0.000300
10750,5.577666,5.645096,8.433929,0.000300
10800,5.776047,5.829535,8.717559,0.000300
10850,5.725506,5.770176,8.632929,0.000300
10900,5.686158,5.725123,8.568202,0.000300
10950,5.652596,5.689873,8.516172,0.000300
11000,5.523825,5.579926,8.341839,0.000300
11050,5.635465,5.713136,8.530868,0.000300
11100,5.808782,5.882023,8.786414,0.000300
11150,5.736357,5.805392,8.673570,0.000300
11200,5.528785,5.603443,8.367835,0.000300
11250,5.531641,5.605337,8.371157,0.000300
11300,5.338146,5.410415,8.079488,0.000300
11350,4.977768,5.059465,7.548349,0.000300
11400,4.817311,4.909687,7.318342,0.000300
11450,4.725628,4.821233,7.184047,0.000300
11500,4.676768,4.774872,7.113256,0.000300
11550,5.262518,5.326242,7.957501,0.000300
11600,5.626578,5.666367,8.479656,0.000300
11650,5.535571,5.592215,8.360000,0.000300
11700,5.427151,5.494541,8.208116,0.000300
11750,5.232732,5.308346,7.924712,0.000300
11800,5.553807,5.619024,8.395928,0.000300
11850,5.748917,5.812862,8.687320,0.000300
11900,5.541011,5.622185,8.392691,0.000300
11950,5.588103,5.656545,8.450596,0.000300
12000,5.711130,5.780709,8.636274,0.000300
12050,5.442398,5.538566,8.259765,0.000300
12100,5.224876,5.291933,7.904371,0.000300
12150,4.966399,5.015948,7.499147,0.000300
12200,4.885524,4.956147,7.398909,0.000300
12250,5.417719,5.479846,8.188706,0.000300
12300,5.733438,5.796312,8.663031,0.000300
12350,5.550402,5.639522,8.414723,0.000300
12400,5.378932,5.478364,8.167830,0.000300
12450,5.482842,5.562619,8.304040,0.000300
12500,5.552976,5.626627,8.403115,0.000300
12550,5.406020,5.484352,8.187362,0.000300
12600,5.319864,5.373732,8.033664,0.000300
12650,5.383730,5.430199,8.122064,0.000300
12700,5.387872,5.453942,8.147878,0.000300
12750,5.322887,5.407488,8.068931,0.000300
12800,5.196257,5.306378,7.904506,0.000300
12850,5.289176,5.401342,8.045930,0.000300
12900,5.488901,5.588280,8.332731,0.000300
12950,5.423796,5.523883,8.235781,0.000300
13000,5.493261,5.599327,8.345957,0.000300
13050,5.532382,5.651483,8.417674,0.000300
13100,5.361262,5.461360,8.141991,0.000300
13150,5.339542,5.405511,8.075282,0.000300
13200,5.418121,5.481003,8.190064,0.000300
13250,5.560195,5.639245,8.419343,0.000300
13300,5.544123,5.642038,8.414099,0.000300
13350,5.238642,5.362600,7.981921,0.000300
13400,5.374564,5.514291,8.201572,0.000300
13450,5.495003,5.633895,8.381397,0.000300
13500,5.294756,5.443722,8.091100,0.000300
13550,5.217351,5.380418,7.989094,0.000300
13600,5.223328,5.374314,7.985979,0.000300
13650,5.462922,5.564569,8.296030,0.000300
13700,5.602085,5.682999,8.484041,0.000300
13750,5.558036,5.625607,8.404625,0.000300
13800,5.596180,5.638605,8.436696,0.000300
13850,5.525400,5.584856,8.347556,0.000300
13900,5.357610,5.451942,8.130747,0.000300
13950,5.353022,5.466434,8.142945,0.000300
14000,5.415265,5.541071,8.248704,0.000300
14050,5.665594,5.780342,8.613139,0.000300
14100,5.676918,5.777678,8.616137,0.000300
14150,5.435216,5.539976,8.257584,0.000300
14200,5.477752,5.601827,8.340702,0.000300
14250,5.664242,5.801666,8.633787,0.000300
14300,4.579902,4.639088,6.929038,0.000300
14350,2.683693,2.702420,4.044266,0.000300
14400,2.606585,2.664540,3.967833,0.000300
14450,4.413428,4.503371,6.710085,0.000300
14500,5.592452,5.718676,8.514902,0.000300
14550,5.528016,5.671400,8.435409,0.000300
14600,5.644640,5.774700,8.597020,0.000300
14650,5.698185,5.818216,8.667308,0.000300
14700,5.636078,5.765281,8.583321,0.000300
14750,5.621397,5.761421,8.572119,0.000300
14800,5.478019,5.627746,8.366755,0.000300
14850,5.382312,5.511274,8.202430,0.000300
14900,5.332947,5.452040,8.118513,0.000300
14950,5.322919,5.433987,8.095447,0.000300
15000,5.338403,5.457429,8.126630,0.000300
15050,5.533534,5.679403,8.446170,0.000300
15100,5.615984,5.764306,8.572298,0.000300
15150,5.377222,5.536345,8.224956,0.000300
15200,5.446304,5.605889,8.329042,0.000300
15250,5.450089,5.614694,8.339739,0.000300
15300,5.178810,5.362349,7.951754,0.000300
15350,5.021861,5.221221,7.732151,0.000300
15400,4.947669,5.165339,7.639174,0.000300
15450,5.211237,5.406455,8.012073,0.000300
15500,5.554288,5.736450,8.513594,0.000300
15550,5.649773,5.841675,8.666562,0.000300
15600,5.688128,5.876469,8.720533,0.000300
15650,5.693880,5.884914,8.731854,0.000300
15700,5.567407,5.761241,8.544945,0.000300
15750,5.446330,5.632653,8.355818,0.000300
15800,5.507094,5.690851,8.444398,0.000300
15850,5.457355,5.651792,8.380469,0.000300
15900,5.303492,5.502736,8.154482,0.000300
15950,5.194068,5.388847,7.985881,0.000300
16000,5.137045,5.331609,7.900132,0.000300
16050,5.230865,5.416637,8.032070,0.000300
16100,5.505436,5.614243,8.366961,0.000300
16150,5.695820,5.776528,8.624438,0.000300
16200,5.478578,5.604244,8.343533,0.000300
16250,5.250024,5.402109,8.027121,0.000300
