step,loss,masked_loss,unmasked_loss,em_ema,mask_prob,lr
9700,2.704972,3.384800,2.258590,0.199626,0.250000,0.000300
9750,2.371288,2.991518,1.972647,0.184539,0.250000,0.000300
9800,2.591084,3.122207,2.213970,0.083535,0.250000,0.000300
9850,2.624897,3.186238,2.241912,0.176167,0.250000,0.000300
9900,2.411028,3.065855,2.028959,0.168950,0.250000,0.000300
9950,2.485477,3.141104,2.097159,0.089865,0.250000,0.000300
10000,2.610094,3.222251,2.211860,0.063739,0.250000,0.000300
10050,2.589537,3.227243,2.182012,0.107855,0.250000,0.000300
10100,2.451928,3.135004,2.043672,0.113730,0.250000,0.000300
10150,2.487892,3.139904,2.103165,0.085950,0.250000,0.000300
10200,2.791916,3.462148,2.378791,0.051428,0.250000,0.000300
10250,2.865645,3.537472,2.443120,0.080884,0.250000,0.000300
10300,2.670669,3.252114,2.304108,0.095536,0.250000,0.000300
10350,2.602516,3.150253,2.245891,0.163118,0.250000,0.000300
10400,2.524260,3.137904,2.144603,0.154838,0.250000,0.000300
10450,2.355571,2.969437,1.997789,0.156562,0.250000,0.000300
10500,2.312628,2.874569,1.986655,0.148900,0.250000,0.000300
10550,2.261719,2.787969,1.954814,0.164566,0.250000,0.000300
10600,2.161578,2.653959,1.877967,0.175057,0.250000,0.000300
10650,2.044944,2.526851,1.776227,0.247567,0.250000,0.000300
10700,2.387635,2.946435,2.058590,0.114817,0.250000,0.000300
10750,2.588764,3.188881,2.228100,0.185961,0.250000,0.000300
10800,2.328626,2.859511,2.020733,0.154109,0.250000,0.000300
10850,2.440467,2.974283,2.110030,0.174961,0.250000,0.000300
10900,2.615672,3.185516,2.232130,0.137813,0.250000,0.000300
10950,2.436420,2.998252,2.060923,0.137233,0.250000,0.000300
11000,2.247836,2.800013,1.896990,0.132927,0.250000,0.000300
11050,2.388510,2.947187,2.051884,0.193514,0.250000,0.000300
11100,2.443748,3.019920,2.113210,0.188291,0.250000,0.000300
11150,2.536038,3.133865,2.171151,0.101796,0.250000,0.000300
11200,2.497490,3.050144,2.131324,0.123760,0.250000,0.000300
11250,2.258890,2.717516,1.947131,0.162871,0.250000,0.000300
11300,2.347252,2.817548,2.023235,0.097484,0.250000,0.000300
11350,2.530893,3.081589,2.149630,0.164902,0.250000,0.000300
11400,2.327357,2.871461,1.947618,0.180333,0.250000,0.000300
11450,1.992117,2.449560,1.668949,0.206055,0.250000,0.000300
11500,1.779671,2.160793,1.509003,0.271546,0.250000,0.000300
11550,1.626335,1.966079,1.384316,0.328163,0.250000,0.000300
11600,1.546041,1.877180,1.310031,0.319755,0.250000,0.000300
11650,2.058200,2.479280,1.767552,0.138824,0.250000,0.000300
11700,2.563720,3.032984,2.247236,0.184455,0.250000,0.000300
11750,2.375169,2.790162,2.102627,0.202114,0.250000,0.000300
11800,2.129714,2.573967,1.869721,0.271582,0.250000,0.000300
11850,1.979936,2.490287,1.691581,0.350846,0.250000,0.000300
11900,1.966242,2.531276,1.640022,0.291721,0.250000,0.000300
11950,2.037519,2.594688,1.711963,0.241572,0.250000,0.000300
12000,2.089401,2.565392,1.802005,0.238549,0.250000,0.000300
12050,2.171275,2.602341,1.885793,0.189012,0.250000,0.000300
12100,1.928152,2.338150,1.663217,0.388925,0.250000,0.000300
12150,1.586310,1.954066,1.376822,0.429050,0.250000,0.000300
12200,1.806938,2.171418,1.587019,0.196386,0.250000,0.000300
12250,2.348329,2.740907,2.089704,0.152188,0.250000,0.000300
12300,2.417059,2.843365,2.136905,0.194993,0.250000,0.000300
12350,1.895156,2.309610,1.641947,0.374834,0.250000,0.000300
12400,1.762732,2.125485,1.533660,0.185830,0.250000,0.000300
12450,1.942866,2.315211,1.695967,0.245243,0.250000,0.000300
12500,1.851894,2.169916,1.636395,0.210003,0.250000,0.000300
12550,1.915331,2.224820,1.695448,0.211010,0.250000,0.000299
12600,2.131607,2.560652,1.846504,0.184634,0.250000,0.000299
12650,2.012889,2.438374,1.741185,0.222087,0.250000,0.000299
12700,1.738625,2.085095,1.517615,0.271642,0.250000,0.000299
12750,1.506826,1.807527,1.317986,0.400608,0.250000,0.000299
12800,1.555086,1.870053,1.358170,0.228770,0.250000,0.000299
12850,1.812244,2.168907,1.588393,0.236281,0.250000,0.000299
12900,1.868813,2.242170,1.644415,0.309885,0.250000,0.000299
12950,1.949063,2.330527,1.714645,0.175055,0.250000,0.000299
