step,recon_loss,contrastive_loss,variance_loss,covariance_loss,em_ema,contrastive_weight,lr
5300,6.714342,0.046420,0.972559,0.000050,0.000081,0.100000,0.000300
5350,6.287321,0.056901,0.972839,0.000043,0.000003,0.100000,0.000300
5400,6.618033,0.060671,0.973399,0.000037,0.000000,0.100000,0.000300
5450,7.276356,0.056218,0.973936,0.000033,0.000000,0.100000,0.000300
5500,7.027782,0.061532,0.973604,0.000032,0.000185,0.100000,0.000300
5550,6.848403,0.064657,0.974104,0.000029,0.000008,0.100000,0.000300
5600,6.965167,0.059291,0.974374,0.000026,0.000000,0.100000,0.000300
5650,6.839133,0.057797,0.973841,0.000026,0.000991,0.100000,0.000300
5700,6.826065,0.041357,0.973727,0.000027,0.000465,0.100000,0.000300
5750,6.934548,0.037538,0.973582,0.000028,0.000970,0.100000,0.000300
5800,6.886442,0.041380,0.973377,0.000028,0.000039,0.100000,0.000300
5850,6.955786,0.049762,0.973751,0.000026,0.000002,0.100000,0.000300
5900,6.983045,0.104662,0.973994,0.000039,0.000000,0.100000,0.000300
5950,6.861390,0.128591,0.973394,0.000063,0.000000,0.100000,0.000300
6000,6.341177,0.089725,0.972330,0.000070,0.000000,0.100000,0.000300
6050,5.546529,0.087109,0.972199,0.000061,0.000956,0.100000,0.000300
6100,5.805825,0.068374,0.972308,0.000055,0.000476,0.100000,0.000300
6150,6.359429,0.047436,0.972590,0.000048,0.000019,0.100000,0.000300
6200,6.151501,0.045200,0.972804,0.000041,0.000001,0.100000,0.000300
6250,6.041382,0.042491,0.972479,0.000038,0.000000,0.100000,0.000300
6300,6.667996,0.062983,0.973253,0.000036,0.000000,0.100000,0.000300
6350,7.165611,0.088917,0.973901,0.000035,0.000049,0.100000,0.000300
6400,6.831622,0.093149,0.974135,0.000031,0.000216,0.100000,0.000300
6450,6.366171,0.073385,0.973785,0.000028,0.000009,0.100000,0.000300
6500,6.533371,0.074378,0.973613,0.000029,0.003825,0.100000,0.000300
6550,6.960385,0.068950,0.973965,0.000029,0.000209,0.100000,0.000300
6600,7.018799,0.068818,0.973920,0.000030,0.000009,0.100000,0.000300
6650,6.659171,0.072044,0.973433,0.000031,0.000000,0.100000,0.000300
6700,6.429933,0.065135,0.973152,0.000038,0.000000,0.100000,0.000300
6750,6.633254,0.051935,0.972905,0.000053,0.000000,0.100000,0.000300
6800,6.894743,0.025950,0.972252,0.000061,0.000000,0.100000,0.000300
6850,7.093180,0.026649,0.972452,0.000058,0.000141,0.100000,0.000300
6900,6.767768,0.023325,0.972470,0.000052,0.000006,0.100000,0.000300
6950,6.614638,0.081617,0.973024,0.000043,0.000194,0.100000,0.000300
7000,6.537662,0.128582,0.973253,0.000038,0.000008,0.100000,0.000300
7050,6.537383,0.084165,0.973278,0.000039,0.000000,0.100000,0.000300
7100,6.960154,0.045897,0.973482,0.000037,0.000000,0.100000,0.000300
7150,6.965630,0.047498,0.973142,0.000034,0.000000,0.100000,0.000300
7200,6.696800,0.053798,0.972925,0.000034,0.000000,0.100000,0.000300
7250,6.652947,0.045354,0.972812,0.000035,0.000000,0.100000,0.000300
7300,6.846991,0.040832,0.972943,0.000035,0.000000,0.100000,0.000300
7350,6.959400,0.034461,0.972872,0.000035,0.000000,0.100000,0.000300
7400,6.848985,0.027803,0.972804,0.000033,0.000000,0.100000,0.000300
7450,6.674249,0.028562,0.973023,0.000032,0.000000,0.100000,0.000300
7500,6.876421,0.036172,0.973340,0.000034,0.000000,0.100000,0.000300
7550,7.030249,0.044514,0.973736,0.000035,0.000000,0.100000,0.000300
7600,6.922499,0.061927,0.973458,0.000044,0.000000,0.100000,0.000300
7650,6.842407,0.048955,0.972531,0.000059,0.000000,0.100000,0.000300
7700,6.679986,0.018765,0.971903,0.000063,0.000000,0.100000,0.000300
7750,6.429901,0.034592,0.972408,0.000057,0.000000,0.100000,0.000300
7800,6.452933,0.039607,0.972902,0.000052,0.000000,0.100000,0.000300
7850,6.749845,0.038253,0.972970,0.000050,0.000491,0.100000,0.000300
7900,6.961727,0.050458,0.973138,0.000049,0.001386,0.100000,0.000300
7950,6.920359,0.047239,0.972992,0.000047,0.000295,0.100000,0.000300
8000,6.605699,0.043299,0.973160,0.000039,0.000012,0.100000,0.000300
8050,6.602401,0.049705,0.973297,0.000035,0.000060,0.100000,0.000300
8100,6.685142,0.067217,0.973416,0.000036,0.000002,0.100000,0.000300
8150,6.778175,0.058488,0.973597,0.000037,0.000369,0.100000,0.000300
8200,6.766190,0.047096,0.973582,0.000036,0.000015,0.100000,0.000300
8250,6.485143,0.048625,0.973110,0.000036,0.000001,0.100000,0.000300
8300,6.636687,0.045742,0.972698,0.000039,0.000078,0.100000,0.000300
8350,6.888382,0.064505,0.972927,0.000040,0.002611,0.100000,0.000300
8400,6.718803,0.071779,0.972644,0.000041,0.000297,0.100000,0.000300
8450,6.266377,0.069881,0.972140,0.000057,0.000012,0.100000,0.000300
8500,6.512242,0.056996,0.972656,0.000066,0.000000,0.100000,0.000300
8550,6.966466,0.029603,0.972826,0.000058,0.000000,0.100000,0.000300
8600,6.740912,0.024319,0.972440,0.000055,0.000000,0.100000,0.000300
8650,6.396336,0.038276,0.972640,0.000049,0.000000,0.100000,0.000300
8700,6.036037,0.051708,0.972504,0.000047,0.000000,0.100000,0.000300
8750,6.370371,0.040643,0.972410,0.000045,0.000043,0.100000,0.000300
8800,6.867129,0.026385,0.972689,0.000043,0.000002,0.100000,0.000300
8850,6.996949,0.046577,0.973178,0.000040,0.000000,0.100000,0.000300
8900,6.826345,0.053129,0.972971,0.000038,0.000000,0.100000,0.000300
8950,6.397619,0.034961,0.972119,0.000039,0.000000,0.100000,0.000300
9000,6.258996,0.043289,0.972250,0.000040,0.000000,0.100000,0.000300
9050,6.611555,0.060537,0.973005,0.000039,0.000000,0.100000,0.000300
9100,6.832178,0.055417,0.973660,0.000037,0.000000,0.100000,0.000300
9150,6.882899,0.053024,0.973274,0.000045,0.000000,0.100000,0.000300
9200,6.910013,0.047488,0.972395,0.000060,0.000000,0.100000,0.000300
9250,6.863478,0.029481,0.972312,0.000064,0.000000,0.100000,0.000300
9300,6.983979,0.024247,0.972365,0.000061,0.000000,0.100000,0.000300
9350,6.821502,0.024248,0.972457,0.000055,0.000000,0.100000,0.000300
9400,6.572744,0.023178,0.972474,0.000051,0.000000,0.100000,0.000300
9450,6.752190,0.028627,0.972480,0.000047,0.000000,0.100000,0.000300
9500,6.908533,0.031527,0.972714,0.000042,0.004840,0.100000,0.000300
9550,6.835927,0.038066,0.973108,0.000041,0.000549,0.100000,0.000300
9600,6.932541,0.048124,0.973471,0.000040,0.000022,0.100000,0.000300
9650,6.856919,0.034983,0.972950,0.000041,0.000001,0.100000,0.000300
9700,6.895529,0.028118,0.972816,0.000040,0.000000,0.100000,0.000300
9750,7.081498,0.030215,0.972912,0.000039,0.000000,0.100000,0.000300
9800,6.911287,0.027858,0.972456,0.000040,0.000000,0.100000,0.000300
9850,6.502837,0.030570,0.972398,0.000039,0.000045,0.100000,0.000300
9900,6.428839,0.040622,0.972657,0.000038,0.000590,0.100000,0.000300
